"Regio's";"Codes en namen van gemeenten/Code (code)";"Codes en namen van gemeenten/Naam (naam)";"Lokaliseringen van gemeenten/COROP-gebieden/Code (code)";"Lokaliseringen van gemeenten/COROP-gebieden/Naam (naam)";"Lokaliseringen van gemeenten/GGD-regio's/Code (code)";"Lokaliseringen van gemeenten/GGD-regio's/Naam (naam)";"Lokaliseringen van gemeenten/Jeugdregio's/Code (code)";"Lokaliseringen van gemeenten/Jeugdregio's/Naam (naam)";"Lokaliseringen van gemeenten/Toeristengebieden/Code (code)";"Lokaliseringen van gemeenten/Toeristengebieden/Naam (naam)";"Lokaliseringen van gemeenten/Veiligheidsregio's/Code (code)";"Lokaliseringen van gemeenten/Veiligheidsregio's/Naam (naam)"
"Aa en Hunze";"GM1680    ";"Aa en Hunze                                       ";"CR07      ";"Noord-Drenthe                                     ";"GG0706    ";"GGD Drenthe                                       ";"JZ04      ";"Drenthe                                           ";"TR12      ";"Groningse, Friese en Drentse Zandgronden          ";"VR03      ";"Drenthe                                           "
"Aalsmeer";"GM0358    ";"Aalsmeer                                          ";"CR23      ";"Groot-Amsterdam                                   ";"GG3406    ";"GGD Amsterdam                                     ";"JZ13      ";"Amsterdam-Amstelland                              ";"TR06      ";"Hollands-Utrechtse meren                          ";"VR13      ";"Amsterdam-Amstelland                              "
"Aalten";"GM0197    ";"Aalten                                            ";"CR14      ";"Achterhoek                                        ";"GG1413    ";"GGD Noord- en Oost-Gelderland                     ";"JZ25      ";"Achterhoek                                        ";"TR10      ";"Achterhoek                                        ";"VR06      ";"Noord- en Oost-Gelderland                         "
"Achtkarspelen";"GM0059    ";"Achtkarspelen                                     ";"CR04      ";"Noord-Friesland                                   ";"GG7206    ";"GGD Fryslân                                       ";"JZ02      ";"Friesland (Fryslân)                               ";"TR17      ";"Overig Nederland                                  ";"VR02      ";"Fryslân                                           "
"Alblasserdam";"GM0482    ";"Alblasserdam                                      ";"CR30      ";"Zuidoost-Zuid-Holland                             ";"GG4816    ";"Dienst Gezondheid & Jeugd ZHZ                     ";"JZ31      ";"Zuid-Holland Zuid                                 ";"TR17      ";"Overig Nederland                                  ";"VR18      ";"Zuid-Holland-Zuid                                 "
"Albrandswaard";"GM0613    ";"Albrandswaard                                     ";"CR29      ";"Groot-Rijnmond                                    ";"GG4607    ";"GGD Rotterdam-Rijnmond                            ";"JZ29      ";"Rijnmond                                          ";"TR04      ";"Deltagebied                                       ";"VR17      ";"Rotterdam-Rijnmond                                "
"Alkmaar";"GM0361    ";"Alkmaar                                           ";"CR19      ";"Alkmaar en omgeving                               ";"GG2707    ";"GGD Hollands-Noorden                              ";"JZ06      ";"Alkmaar (Noord-Kennemerland)                      ";"TR17      ";"Overig Nederland                                  ";"VR10      ";"Noord-Holland-Noord                               "
"Almelo";"GM0141    ";"Almelo                                            ";"CR12      ";"Twente                                            ";"GG1106    ";"GGD Twente                                        ";"JZ14      ";"Twente                                            ";"TR11      ";"Twente, Salland en Vechtstreek                    ";"VR05      ";"Twente                                            "
"Almere";"GM0034    ";"Almere                                            ";"CR40      ";"Flevoland                                         ";"GG2209    ";"GGD Flevoland                                     ";"JZ08      ";"Flevoland                                         ";"TR03      ";"IJsselmeerkust                                    ";"VR25      ";"Flevoland                                         "
"Alphen aan den Rijn";"GM0484    ";"Alphen aan den Rijn                               ";"CR28      ";"Oost-Zuid-Holland                                 ";"GG4506    ";"GGD Hollands-Midden                               ";"JZ18      ";"Holland Rijnland                                  ";"TR17      ";"Overig Nederland                                  ";"VR16      ";"Hollands-Midden                                   "
